Date,Open,High,Low,Close,Adj Close,Volume
2011-01-14,171500.000000,171500.000000,168000.000000,171500.000000,160398.953125,388915
2011-01-17,171500.000000,172000.000000,166000.000000,167500.000000,156657.875000,645623
2011-01-18,166500.000000,173500.000000,166000.000000,169000.000000,158060.796875,580538
2011-01-19,170000.000000,172000.000000,167500.000000,171000.000000,159931.312500,448084
2011-01-20,170000.000000,171000.000000,163500.000000,165000.000000,154319.687500,907733
2011-01-21,163000.000000,164500.000000,159000.000000,159000.000000,148708.093750,799103
2011-01-24,160000.000000,161000.000000,158000.000000,160000.000000,149643.359375,449103
2011-01-25,161000.000000,166000.000000,161000.000000,164000.000000,153384.421875,445671
2011-01-26,165500.000000,167000.000000,163500.000000,163500.000000,152916.796875,300480
2011-01-27,165000.000000,165000.000000,160000.000000,162000.000000,151513.890625,451143
2011-01-28,160000.000000,160500.000000,153000.000000,154500.000000,144499.359375,1491561
2011-01-31,152000.000000,158500.000000,151000.000000,156000.000000,145902.250000,427350
2011-02-01,157500.000000,159000.000000,154500.000000,154500.000000,144499.359375,334225
2011-02-07,156500.000000,158500.000000,156000.000000,157000.000000,146837.531250,254818
2011-02-08,156000.000000,159000.000000,155500.000000,156000.000000,145902.250000,229257
2011-02-09,158000.000000,161500.000000,157500.000000,158000.000000,147772.796875,447063
2011-02-10,157000.000000,158500.000000,154500.000000,156000.000000,145902.250000,434957
2011-02-11,155000.000000,160000.000000,154000.000000,155000.000000,144967.000000,419525
2011-02-14,156500.000000,158000.000000,155000.000000,157000.000000,146837.531250,257143
2011-02-15,157500.000000,160500.000000,157000.000000,158500.000000,148240.453125,374893
2011-02-16,161000.000000,162500.000000,160000.000000,160000.000000,149643.359375,414950
2011-02-17,162500.000000,164000.000000,161000.000000,162500.000000,151981.500000,498958
2011-02-18,163500.000000,165500.000000,162500.000000,163000.000000,152449.156250,366171
2011-02-21,163000.000000,167500.000000,162000.000000,165500.000000,154787.343750,544907
2011-02-22,164000.000000,168000.000000,163500.000000,166000.000000,155254.984375,519343
2011-02-23,165000.000000,167000.000000,161500.000000,165000.000000,154319.687500,363619
2011-02-24,164000.000000,164500.000000,160500.000000,163500.000000,152916.796875,258230
2011-02-25,163000.000000,164500.000000,161000.000000,163500.000000,152916.796875,220765
2011-02-28,163000.000000,168000.000000,162000.000000,166500.000000,155722.609375,483102
2011-03-02,166000.000000,172000.000000,166000.000000,168500.000000,157593.156250,567082
2011-03-03,169500.000000,175000.000000,169000.000000,174000.000000,162737.156250,745641
2011-03-04,177500.000000,178000.000000,172500.000000,174000.000000,162737.156250,651096
2011-03-07,173000.000000,176500.000000,172500.000000,173500.000000,162269.484375,323516
2011-03-08,174000.000000,178000.000000,173500.000000,174500.000000,163204.781250,581618
2011-03-09,175500.000000,176000.000000,167000.000000,169500.000000,158528.406250,857498
2011-03-10,167500.000000,171500.000000,166500.000000,167500.000000,156657.875000,520365
2011-03-11,164500.000000,171000.000000,163500.000000,166000.000000,155254.984375,577718
2011-03-14,169000.000000,169500.000000,163000.000000,167000.000000,156190.265625,443512
2011-03-15,168000.000000,173000.000000,162500.000000,168500.000000,157593.156250,722942
2011-03-16,170000.000000,172000.000000,166000.000000,167500.000000,156657.875000,373521
2011-03-17,164500.000000,166000.000000,161000.000000,165000.000000,154319.687500,393754
2011-03-18,164500.000000,168500.000000,161000.000000,165000.000000,154319.687500,599816
2011-03-21,167000.000000,168500.000000,162000.000000,163000.000000,152449.156250,724735
2011-03-22,162500.000000,163000.000000,155000.000000,157000.000000,146837.531250,1290456
2011-03-23,158000.000000,160000.000000,155500.000000,159500.000000,149175.703125,743146
2011-03-24,160000.000000,161000.000000,158000.000000,158000.000000,147772.796875,329297
2011-03-25,159500.000000,162000.000000,159000.000000,161500.000000,151046.250000,514112
2011-03-28,162500.000000,162500.000000,161000.000000,161500.000000,151046.250000,270918
2011-03-29,160500.000000,161500.000000,159000.000000,161000.000000,150578.625000,346762
2011-03-30,161000.000000,168000.000000,160500.000000,168000.000000,157125.500000,868352
2011-03-31,168000.000000,169500.000000,167000.000000,168000.000000,157125.500000,456208
2011-04-01,168000.000000,172000.000000,167500.000000,172000.000000,160866.593750,610584
2011-04-04,172500.000000,172500.000000,168500.000000,169500.000000,158528.406250,372673
2011-04-05,171000.000000,174500.000000,171000.000000,172500.000000,161334.250000,640598
2011-04-06,173500.000000,175000.000000,169000.000000,171000.000000,159931.312500,634936
2011-04-07,172500.000000,177500.000000,172000.000000,172500.000000,161334.250000,756764
2011-04-08,172500.000000,174500.000000,171000.000000,173000.000000,161801.859375,377327
2011-04-11,173000.000000,176000.000000,171500.000000,174000.000000,162737.156250,412314
2011-04-12,177500.000000,180500.000000,174000.000000,174000.000000,162737.156250,914010
2011-04-13,175500.000000,178500.000000,175000.000000,177000.000000,165542.953125,489748
2011-04-14,177000.000000,182000.000000,177000.000000,181000.000000,169284.046875,1058519
2011-04-15,181500.000000,186500.000000,181000.000000,185000.000000,173025.125000,952687
2011-04-18,185500.000000,193500.000000,184500.000000,189000.000000,176766.203125,1041337
2011-04-19,188500.000000,192500.000000,184500.000000,189000.000000,176766.203125,855836
2011-04-20,192000.000000,200000.000000,191000.000000,198000.000000,185183.640625,1277781
2011-04-21,199500.000000,202000.000000,194000.000000,196500.000000,183780.734375,1174823
2011-04-22,195500.000000,196000.000000,189000.000000,194500.000000,181910.187500,1151547
2011-04-25,194000.000000,199000.000000,192000.000000,194500.000000,181910.187500,537828
2011-04-26,196500.000000,201000.000000,189500.000000,189500.000000,177233.843750,1144150
2011-04-27,190500.000000,193000.000000,186000.000000,190000.000000,177701.468750,712155
2011-04-28,192500.000000,194500.000000,186500.000000,189000.000000,176766.203125,579596
2011-04-29,188500.000000,194000.000000,188000.000000,191500.000000,179104.406250,627889
2011-05-02,192000.000000,198000.000000,192000.000000,197000.000000,184248.375000,525293
2011-05-03,197000.000000,198500.000000,194500.000000,197500.000000,184716.000000,447088
2011-05-04,198000.000000,198000.000000,187500.000000,188000.000000,175830.921875,819645
2011-05-06,184500.000000,187000.000000,180500.000000,186500.000000,174428.031250,549314
2011-05-09,187500.000000,190000.000000,185500.000000,186000.000000,173960.390625,260530
2011-05-11,185500.000000,187000.000000,183500.000000,184500.000000,172557.484375,375672
2011-05-12,182500.000000,191500.000000,181000.000000,188500.000000,176298.562500,571679
2011-05-13,189500.000000,192000.000000,187000.000000,189000.000000,176766.203125,353683
2011-05-16,187000.000000,193000.000000,186000.000000,191500.000000,179104.406250,361393
2011-05-17,191500.000000,191500.000000,187000.000000,187500.000000,175363.281250,361916
2011-05-18,188000.000000,190500.000000,185000.000000,189500.000000,177233.843750,320554
2011-05-19,194000.000000,195000.000000,185000.000000,185000.000000,173025.125000,702197
2011-05-20,185500.000000,190500.000000,184500.000000,189000.000000,176766.203125,275713
2011-05-23,188500.000000,190000.000000,182500.000000,184000.000000,172089.859375,300132
2011-05-24,182500.000000,185000.000000,181500.000000,183000.000000,171154.609375,242759
2011-05-25,186000.000000,189500.000000,184000.000000,184000.000000,172089.859375,352490
2011-05-26,186500.000000,201000.000000,186000.000000,201000.000000,187989.437500,1579276
2011-05-27,200000.000000,211000.000000,198500.000000,200500.000000,187521.812500,2145486
2011-05-30,198000.000000,198500.000000,174000.000000,177500.000000,166010.578125,3409915
2011-05-31,177500.000000,181500.000000,173500.000000,176500.000000,165075.328125,1729940
2011-06-01,180000.000000,183500.000000,177500.000000,178500.000000,166945.859375,1213532
2011-06-02,174500.000000,179000.000000,171000.000000,174000.000000,162737.156250,933658
2011-06-03,174500.000000,175500.000000,163000.000000,164500.000000,153852.046875,1665590
2011-06-07,162000.000000,166500.000000,160500.000000,166500.000000,155722.609375,564601
2011-06-08,167000.000000,169000.000000,162500.000000,163500.000000,152916.796875,467043
2011-06-09,162500.000000,168000.000000,162500.000000,165500.000000,154787.343750,482398
2011-06-10,167500.000000,168000.000000,160000.000000,160000.000000,149643.359375,539840
2011-06-13,157000.000000,159500.000000,155000.000000,156500.000000,146369.875000,491664
2011-06-14,156000.000000,163500.000000,155000.000000,162500.000000,151981.500000,544643
2011-06-15,164000.000000,167000.000000,163500.000000,163500.000000,152916.796875,304764
2011-06-16,161000.000000,167500.000000,160000.000000,164500.000000,153852.046875,343060
2011-06-17,165500.000000,166000.000000,157500.000000,161000.000000,150578.625000,472205
2011-06-20,161000.000000,164500.000000,158500.000000,161500.000000,151046.250000,267444
2011-06-21,163500.000000,165500.000000,162500.000000,164500.000000,153852.046875,278366
